time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,roll_ddot,pitch_ddot,yaw_ddot,quat_w,quat_x,quat_y,quat_z,quat_dot_w,quat_dot_x,quat_dot_y,quat_dot_z
1.04,0.011119199397637,0,-0.103438800346135,0.0426116337299593,0,-0.334588836616865,0.120966039632062,0,-0.691725841703784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05,0.0115514004997009,0,-0.106819348929336,0.0438322387067752,0,-0.341528215461255,0.123157249952382,0,-0.696127090103269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06,0.0119959174404555,0,-0.110269509076168,0.0450748242070356,0,-0.348510920270202,0.12536210359896,0,-0.700390895797714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07,0.012452970703219,0,-0.113789707160497,0.046339525438237,0,-0.355535572547506,0.127580355008707,0,-0.704516454474231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08,0.0129227821110657,0,-0.117380355731962,0.0476264751399833,0,-0.362600786038324,0.129811756169602,0,-0.708503018614707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09,0.0134055748020245,0,-0.121041853441217,0.0489358035595996,0,-0.369705167294055,0.132056056641403,0,-0.712349896884172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0.0139015732040357,0,-0.12477458497079,0.0502676384279538,0,-0.376847316231119,0.134313003576357,0,-0.716056453519178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11,0.0144110030096658,0,-0.128578920971506,0.051622104935485,0,-0.384025826683607,0.136582341739914,0,-0.71962210771617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.12,0.0149340911505843,0,-0.132455218004396,0.0529993257084392,0,-0.391239286949827,0.138863813531439,0,-0.723046333019859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13,0.0154710657718044,0,-0.136403818488053,0.0543994207853119,0,-0.398486280332728,0.141157159004923,0,-0.726328656711599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,0.0160221562056877,0,-0.14042505065135,0.055822507593498,0,-0.405765385674206,0.143462115889699,0,-0.72946865919776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.15,0.0165875929457178,0,-0.144519228491475,0.0572687009261485,0,-0.413075177883297,0.145778419611147,0,-0.732465973398098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16,0.0171676076200432,0,-0.148686651737223,0.058738112919235,0,-0.420414228458254,0.148105803311414,0,-0.735320284134138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.17,0.0177624329647911,0,-0.152927605817469,0.0602308530288206,0,-0.427781106002506,0.15044399787012,0,-0.738031327517538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18,0.0183723027971561,0,-0.157242361834775,0.0617470280085383,0,-0.4351743767345,0.152792731925075,0,-0.740598890338467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.19,0.0189974519882638,0,-0.161631176544063,0.0632867418872765,0,-0.442592604991429,0.155151731892986,0,-0.743022809453981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0.0196381164358128,0,-0.166094292336297,0.0648500959470712,0,-0.450034353726843,0.157520721990176,0,-0.745302971176396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21,0.0202945330364964,0,-0.170631937227111,0.0664371887012063,0,-0.457498185002141,0.159899424253288,0,-0.747439310661659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.22,0.0209669396582066,0,-0.175244324850314,0.0680481158725199,0,-0.464982660471954,0.162287558560003,0,-0.749431811297723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23,0.0216555751120219,0,-0.179931654456228,0.0696829703719184,0,-0.472486341863403,0.164684842649751,0,-0.751280504092925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24,0.0223606791239814,0,-0.184694110914784,0.0713418422770976,0,-0.480007791449245,0.167090992144423,0,-0.752985467064356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
